0.0, 2.0, 0.0
0.0, 2.495, 0.1
0.0, 3.282, 0.2
0.001, 5.109, 0.3
0.003, 12.325, 0.4
0.259, 132.368, 0.5
0.894, 112.632, 0.6
0.975, 103.168, 0.7
0.997, 102.391, 0.8
1.0, 102.079, 0.9
1.0, 102.0, 1.0
0.0, 4.0, 0.0
0.001, 8.951, 0.1
0.131, 167.533, 0.2
0.956, 162.54, 0.3
0.997, 132.072, 0.4
1.0, 116.599, 0.5
1.0, 108.064, 0.6
1.0, 104.763, 0.7
1.0, 104.168, 0.8
1.0, 104.019, 0.9
1.0, 104.0, 1.0
0.0, 6.0, 0.0
0.004, 40.042, 0.1
0.96, 219.91, 0.2
0.998, 160.529, 0.3
1.0, 133.561, 0.4
1.0, 118.568, 0.5
1.0, 110.185, 0.6
1.0, 106.715, 0.7
1.0, 106.17, 0.8
1.0, 106.019, 0.9
1.0, 106.0, 1.0
0.0, 8.0, 0.0
0.545, 545.554, 0.1
0.994, 218.478, 0.2
1.0, 162.438, 0.3
1.0, 135.444, 0.4
1.0, 120.426, 0.5
1.0, 112.19, 0.6
1.0, 108.714, 0.7
1.0, 108.17, 0.8
1.0, 108.019, 0.9
1.0, 108.0, 1.0
