,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,score_add
4312,1958-06-15,Austria,England,2,2,FIFA World Cup,Borås,Sweden,True,4
4321,1958-06-17,England,Russia,0,1,FIFA World Cup,Gothenburg,Sweden,True,1
4361,1958-10-04,Northern Ireland,England,3,3,British Championship,Belfast,Northern Ireland,False,6
4378,1958-10-22,England,Russia,5,0,Friendly,London,England,False,5
4393,1958-11-26,England,Wales,2,2,British Championship,Birmingham,England,False,4
4442,1959-04-11,England,Scotland,1,0,British Championship,London,England,False,1
4451,1959-05-06,England,Italy,2,2,Friendly,London,England,False,4
4457,1959-05-13,Brazil,England,2,0,Friendly,Rio de Janeiro,Brazil,False,2
4461,1959-05-17,Peru,England,4,1,Friendly,Lima,Peru,False,5
4468,1959-05-24,Mexico,England,2,1,Friendly,Mexico City,Mexico,False,3
4471,1959-05-28,USA,England,1,8,Friendly,Los Angeles,USA,False,9
4535,1959-10-17,Wales,England,1,1,British Championship,Cardiff,Wales,False,2
4544,1959-10-28,England,Sweden,2,3,Friendly,London,England,False,5
4552,1959-11-18,England,Northern Ireland,2,1,British Championship,London,England,False,3
4616,1960-04-09,Scotland,England,1,1,British Championship,Glasgow,Scotland,False,2
4641,1960-05-11,England,Yugoslavia,3,3,Friendly,London,England,False,6
4643,1960-05-15,Spain,England,3,0,Friendly,Madrid,Spain,False,3
4648,1960-05-22,Hungary,England,2,0,Friendly,Budapest,Hungary,False,2
4738,1960-10-08,Northern Ireland,England,2,5,British Championship,Belfast,Northern Ireland,False,7
4754,1960-10-19,Luxembourg,England,0,9,FIFA World Cup qualification,Luxembourg,Luxembourg,False,9
4760,1960-10-26,England,Spain,4,2,Friendly,London,England,False,6
4781,1960-11-23,England,Wales,5,1,British Championship,London,England,False,6
4837,1961-04-15,England,Scotland,9,3,British Championship,London,England,False,12
4856,1961-05-10,England,Mexico,8,0,Friendly,London,England,False,8
4868,1961-05-21,Portugal,England,1,1,FIFA World Cup qualification,Oeiras,Portugal,False,2
4869,1961-05-24,Italy,England,2,3,Friendly,Rome,Italy,False,5
4870,1961-05-27,Austria,England,3,1,Friendly,Vienna,Austria,False,4
4924,1961-09-28,England,Luxembourg,4,1,FIFA World Cup qualification,London,England,False,5
4942,1961-10-14,Wales,England,1,1,British Championship,Cardiff,Wales,False,2
4955,1961-10-25,England,Portugal,2,0,FIFA World Cup qualification,London,England,False,2
4977,1961-11-22,England,Northern Ireland,1,1,British Championship,London,England,False,2
5021,1962-04-04,England,Austria,3,1,Friendly,London,England,False,4
5028,1962-04-14,Scotland,England,2,0,British Championship,Glasgow,Scotland,False,2
5045,1962-05-09,England,Switzerland,3,1,Friendly,London,England,False,4
5056,1962-05-20,Peru,England,0,4,Friendly,Lima,Peru,False,4
5067,1962-05-31,England,Hungary,1,2,FIFA World Cup,Rancagua,Chile,True,3
5070,1962-06-02,Argentina,England,1,3,FIFA World Cup,Rancagua,Chile,True,4
5085,1962-06-07,Bulgaria,England,0,0,FIFA World Cup,Rancagua,Chile,True,0
5090,1962-06-10,Brazil,England,3,1,FIFA World Cup,Viña del Mar,Chile,True,4
5156,1962-10-03,England,France,1,1,UEFA Euro qualification,Sheffield,England,False,2
5173,1962-10-20,Northern Ireland,England,1,3,British Championship,Belfast,Northern Ireland,False,4
5203,1962-11-21,England,Wales,4,0,British Championship,London,England,False,4
5251,1963-02-27,France,England,5,2,UEFA Euro qualification,Paris,France,False,7
5311,1963-04-06,England,Scotland,1,2,British Championship,London,England,False,3
5338,1963-05-08,England,Brazil,1,1,Friendly,London,England,False,2
5350,1963-05-29,Czechoslovakia,England,2,4,Friendly,Bratislava,Czechoslovakia,False,6
5354,1963-06-02,German DR,England,1,2,Friendly,Leipzig,German DR,False,3
5359,1963-06-05,Switzerland,England,1,8,Friendly,Basel,Switzerland,False,9
5421,1963-10-12,Wales,England,0,4,British Championship,Cardiff,Wales,False,4
5456,1963-11-20,England,Northern Ireland,8,3,British Championship,London,England,False,11
5522,1964-04-11,Scotland,England,1,0,British Championship,Glasgow,Scotland,False,1
5535,1964-05-06,England,Uruguay,2,1,Friendly,London,England,False,3
5544,1964-05-17,Portugal,England,3,4,Friendly,Oeiras,Portugal,False,7
5548,1964-05-24,Ireland,England,1,3,Friendly,Dublin,Ireland,False,4
5553,1964-05-27,USA,England,0,10,Friendly,New York,USA,False,10
5555,1964-05-30,Brazil,England,5,1,Friendly,Rio de Janeiro,Brazil,False,6
5561,1964-06-04,England,Portugal,1,1,Friendly,São Paulo,Brazil,True,2
5564,1964-06-06,Argentina,England,1,0,Friendly,Rio de Janeiro,Brazil,True,1
5621,1964-10-03,Northern Ireland,England,3,4,British Championship,Belfast,Northern Ireland,False,7
5637,1964-10-21,England,Belgium,2,2,Friendly,London,England,False,4
5662,1964-11-18,England,Wales,2,1,British Championship,London,England,False,3
5674,1964-12-09,Netherlands,England,1,1,Friendly,Amsterdam,Netherlands,False,2
5746,1965-04-10,England,Scotland,2,2,British Championship,London,England,False,4
5772,1965-05-05,England,Hungary,1,0,Friendly,London,England,False,1
5782,1965-05-09,Yugoslavia,England,1,1,Friendly,Belgrade,Yugoslavia,False,2
