0.0, 3.282, 0
0.003, 11.832, 2
0.86, 183.065, 4
0.986, 169.849, 6
0.998, 170.465, 8
1.0, 172.609, 10
1.0, 174.034, 12
1.0, 176.206, 14
0.001, 5.109, 0)
0.402, 158.589, 2)
0.993, 124.166, 4)
1.0, 124.633, 6)
1.0, 126.866, 8)
1.0, 128.806, 10)
1.0, 130.762, 12)
1.0, 132.829, 14)
0.006, 12.325, 0)
0.93, 103.34, 2)
1.0, 102.044, 4)
1.0, 103.934, 6)
1.0, 105.823, 8)
1.0, 107.883, 10)
1.0, 109.879, 12)
1.0, 111.878, 14)
0.286, 99.999, 0)
0.991, 88.976, 2)
1.0, 90.172, 4)
1.0, 92.167, 6)
1.0, 94.169, 8)
1.0, 96.171, 10)
1.0, 98.171, 12)
1.0, 100.171, 14)
