0.0, 6.0, 0.0
0.017, 39.42, 0.1
0.954, 121.983, 0.2
0.997, 87.566, 0.3
1.0, 72.314, 0.4
1.0, 64.0, 0.5
1.0, 59.026, 0.6
1.0, 56.734, 0.7
1.0, 56.152, 0.8
1.0, 56.026, 0.9
1.0, 56.0, 1.0
0.0, 6.0, 0.0)
0.004, 40.042, 0.1)
0.96, 219.91, 0.2)
0.998, 160.529, 0.3)
1.0, 133.561, 0.4)
1.0, 118.568, 0.5)
1.0, 110.185, 0.6)
1.0, 106.715, 0.7)
1.0, 106.17, 0.8)
1.0, 106.019, 0.9)
1.0, 106.0, 1.0)
0.0, 8.0, 0.0)
0.509, 268.399, 0.1)
0.996, 120.783, 0.2)
1.0, 89.416, 0.3)
1.0, 74.383, 0.4)
1.0, 65.993, 0.5)
1.0, 61.029, 0.6)
1.0, 58.734, 0.7)
1.0, 58.152, 0.8)
1.0, 58.026, 0.9)
1.0, 58.0, 1.0)
0.0, 8.0, 0.0)
0.545, 545.554, 0.1)
0.994, 218.478, 0.2)
1.0, 162.438, 0.3)
1.0, 135.444, 0.4)
1.0, 120.426, 0.5)
1.0, 112.19, 0.6)
1.0, 108.714, 0.7)
1.0, 108.17, 0.8)
1.0, 108.019, 0.9)
1.0, 108.0, 1.0)
