0.014, 12.34, 0
0.93, 73.509, 2
0.999, 71.459, 4
1.0, 73.457, 6
1.0, 75.523, 8
1.0, 77.469, 10
1.0, 79.468, 12
1.0, 81.468, 14
0.003, 12.325, 0
0.939, 134.317, 2
1.0, 132.645, 4)
1.0, 134.431, 6)
1.0, 136.359, 8)
1.0, 138.294, 10)
1.0, 140.3, 12)
1.0, 142.3, 14)
0.296, 63.847, 0)
0.989, 61.87, 2)
1.0, 63.08, 4)
1.0, 65.003, 6)
1.0, 66.995, 8)
1.0, 68.993, 10)
1.0, 70.993, 12)
1.0, 72.993, 14)
0.259, 132.368, 0)
0.987, 115.664, 2)
1.0, 117.54, 4)
1.0, 119.397, 6)
1.0, 121.426, 8)
1.0, 123.426, 10)
1.0, 125.426, 12)
1.0, 127.426, 14)
