0.0, 2.0, 0.0
0.001, 2.495, 0.1
0.001, 3.282, 0.2
0.003, 5.109, 0.3
0.014, 12.34, 0.4
0.296, 63.847, 0.5
0.881, 62.311, 0.6
0.975, 53.838, 0.7
0.995, 52.361, 0.8
1.0, 52.066, 0.9
1.0, 52.0, 1.0
0.0, 4.0, 0.0)
0.002, 8.951, 0.1)
0.213, 102.45, 0.2)
0.948, 89.3, 0.3)
0.993, 70.923, 0.4)
0.999, 62.093, 0.5)
1.0, 57.11, 0.6)
1.0, 54.728, 0.7)
1.0, 54.152, 0.8)
1.0, 54.026, 0.9)
1.0, 54.0, 1.0)
0.0, 6.0, 0.0)
0.017, 39.42, 0.1)
0.954, 121.983, 0.2)
0.997, 87.566, 0.3)
1.0, 72.314, 0.4)
1.0, 64.0, 0.5)
1.0, 59.026, 0.6)
1.0, 56.734, 0.7)
1.0, 56.152, 0.8)
1.0, 56.026, 0.9)
1.0, 56.0, 1.0)
0.0, 8.0, 0.0)
0.509, 268.399, 0.1)
0.996, 120.783, 0.2)
1.0, 89.416, 0.3)
1.0, 74.383, 0.4)
1.0, 65.993, 0.5)
1.0, 61.029, 0.6)
1.0, 58.734, 0.7)
1.0, 58.152, 0.8)
1.0, 58.026, 0.9)
1.0, 58.0, 1.0)
