0.0, 3.282, 0
0.002, 11.832, 2
0.878, 234.971, 4
0.984, 217.854, 6
0.996, 219.031, 8
1.0, 221.764, 10
1.0, 223.21, 12
1.0, 224.934, 14
0.001, 5.109, 0)
0.391, 209.843, 2)
0.99, 159.864, 4)
1.0, 161.224, 6)
1.0, 163.483, 8)
1.0, 165.513, 10)
1.0, 167.579, 12)
1.0, 169.631, 14)
0.003, 12.325, 0)
0.939, 134.317, 2)
1.0, 132.645, 4)
1.0, 134.431, 6)
1.0, 136.359, 8)
1.0, 138.294, 10)
1.0, 140.3, 12)
1.0, 142.3, 14)
0.259, 132.368, 0)
0.987, 115.664, 2)
1.0, 117.54, 4)
1.0, 119.397, 6)
1.0, 121.426, 8)
1.0, 123.426, 10)
1.0, 125.426, 12)
1.0, 127.426, 14)
