0.001, 3.282, 0
0.006, 11.832, 2
0.871, 136.838, 4
0.984, 120.405, 6
0.999, 121.468, 8
1.0, 123.053, 10
1.0, 124.865, 12
1.0, 126.62, 14
0.003, 5.109, 0
0.394, 100.242, 2)
0.988, 87.271, 4)
1.0, 88.519, 6)
1.0, 90.522, 8)
1.0, 92.458, 10)
1.0, 94.348, 12)
1.0, 96.484, 14)
0.014, 12.34, 0)
0.93, 73.509, 2)
0.999, 71.459, 4)
1.0, 73.457, 6)
1.0, 75.523, 8)
1.0, 77.469, 10)
1.0, 79.468, 12)
1.0, 81.468, 14)
0.296, 63.847, 0)
0.989, 61.87, 2)
1.0, 63.08, 4)
1.0, 65.003, 6)
1.0, 66.995, 8)
1.0, 68.993, 10)
1.0, 70.993, 12)
1.0, 72.993, 14)
